"National Pokédex
number",English,Notes
181,Mega Ampharos,"Mega Evolution has stimulated Ampharos' genes so much that it has apparently awoken its ""dragon's blood"". Its wool that it has once lost has now regrown."
208,Mega Steelix,It is the heaviest known Mega Pokemon.
212,Mega Scizor,"Mega Scizor can't really sustain a battle for a long time, the weight of its now enhanced pincers become unbearable to it. So it stores excess Energy flowing from Mega Evolution in its body, eventually melting it later. It likes to beat its foe with its claws more than grasping it, ripping its foe to pieces."
214,Mega Heracross,"Although it can lift things with its 2 massive horns 500x its own weight, when Mega Evolution ends, it finds itself with very sore muscles afterwards."
229,Mega Houndoom,"It can turn its opponents to ash with its fearsome fiery breath, but in return, its red tip of its tail and claws are melting because it radiates such immense heat."
248,Mega Tyranitar,"When it Mega Evolves, its back splits open and with its vicious attitude fueling it, it might not be able to hear and execute its trainers commands."
254,Mega Sceptile,Its tree-like tail has now grown even further. the circles on its back and tail can explode on contact and it can even launch its own tail.
257,Mega Blaziken,Parts of its fiery hot legs have blackened due to Mega Evolving.
260,Mega Swampert,
282,Mega Gardevoir,
302,Mega Sableye,"Its huge jewel, that has ripped out of its chest because of Mega Evolution, can block any attack. However, because its so big, it limits Mega Sableye's movement."
303,Mega Mawile,Its now 2 huge sets of steel jaws gnash violently as if they had a mind of their own. They can rip prey in half with its raw power or one of them can gnash a boulder to dust. It also has a violent disposition.
306,Mega Aggron,
308,Mega Medicham,
310,Mega Manectric,Too much electricity has built up in Mega Manectric causing irritation. Its speed is on par with a lightning bolt.
319,Mega Sharpedo,
323,Mega Camerupt,Its back is literally a living active volcano. It can erupt its own back randomly.
334,Mega Altaria,
354,Mega Banette,Its vindictiveness has grown tremendously. Mega Evolution has caused its powerful cursing power that was previously held in its zippers to spill out. It can't help but to curse its own Trainer.
359,Mega Absol,
362,Mega Glalie,"Mega Evolution has smashed its jaw open due to too much energy coming out, leaving its jaw broken. Its very irritated that it can't eat as well in this form. It can chew and freeze its prey instantly though, and when it opens its mouth, everything gets whited out."
373,Mega Salamence,Mega Salamance can cut straight through most things with just its wings. It may even cut its own Trainer in half and it will not even notice or care.
376,Mega Metagross,"Mega Metagross is a combination of one Metagross, two Metang and one Beldum."
380,Mega Latias,
381,Mega Latios,
384,Mega Rayquaza,"After eating meteorites to fuel its Mega Evolution, Mega Rayquaza is merciless. It will do whatever it takes to win. It is the only Mega Pokémon that can hold an item that isn't a Mega Stone while still being able to Mega Evolve."
428,Mega Lopunny,"Its instinctive spirit has awakened as it whips its ears around at the enemy. In this form, all its fur has been shed to prevent it from getting in the way of attacks."
445,Mega Garchomp,Mega energy has melted its arms into scythes. It slashes away at foes due to its vicious temper.
448,Mega Lucario,A Mega Lucario is gifted to the player in Pokémon X and Y to introduce the player to the concept of Mega Evolution.
460,Mega Abomasnow,
475,Mega Gallade,
531,Mega Audino,Audino is currently the only Generation V Pokémon to receive a Mega Evolution.
719,Mega Diancie,"Referred to as the ""Royal Princess"", the diamond atop Mega Diancie's head is said to be 2,000 carats. It was revealed on June 12, 2014, and is not available in X and Y.[104][105] Diance is currently the only Generation VI Pokémon to receive a Mega Evolution."
382,Primal Kyogre,
383,Primal Groudon,
722,Rowlet,"Rowlet are owl-like Pokémon that can twist their heads 180° and are capable of attacking silently.[10] Adorned with a leafy bow tie, Rowlet has been well received by fans and critics. Several gaming media outlets consider it to be the most popular of the three Alola Region starters.[11][12] In a poll held by The Pokémon Company International's official Twitter account in which 52,630 people voted, Rowlet received 41% of the vote.[13]"
723,Dartrix,"A bit of a dandy, it spends its free time preening its wings. Its preoccupation with any dirt on its plumage can leave it unable to battle."
724,Decidueye,Decidueye also appears as a playable fighter in Pokkén Tournament DX.[further explanation needed] It is based on a Stilt-owl.
725,Litten,"Litten are kitten-like Pokémon that spit out flaming hairballs.[10] Similar to Rowlet, Litten has been well received by fans and critics.[11] In a Twitter poll held by The Pokémon Company International, Litten received 38 percent of the vote, just shy of Rowlet.[13]"
726,Torracat,It has a bell on its neck that can dish out fiery attacks.
727,Incineroar,"Incineroar's design is based on heel fighters and wrestlers.[14] Their waists have flames in the shape of a championship belt. They have a cold persona, but are said to love praise from young Pokémon and children.[15] The design of Incineroar also drew some inspiration from the Hawaiian wildlife.[16] The Shiny Pokémon version of Incineroar changes his color scheme to orange fur with white stripes.[17] Incineroar debuted in Pokémon Sun and Moon for the Nintendo 3DS.[18] It also appears in Nintendo's Super Smash Bros. series, appearing as the last newcomer for Super Smash Bros. Ultimate.[16][19] Masahiro Sakurai, the game's director, said he chose Incineroar because he wanted a wrestling character for the game.[20] In the Japanese version of Super Smash Bros. Ultimate, Incineroar is voiced by Unshō Ishizuka, who also voiced Professor Oak in the Pokémon anime. It marked one of his final voice acting appearances before his 2018 death a few months before the release of the game.[21][22] Tyler Bunch provides the character voice in the English version.[23] In the Pokémon anime, Incineroar debuted in the 2017 film Pokémon the Movie: I Choose You!, under the ownership of Cross.[24][25] Incineroar initially received criticism from fans before it was officially revealed as it was assumed to be a dual Fire/Fighting-type Pokémon, a strongly disliked trend among Fire-type starters. Dustin Kemp of The Inquisitr called Incineroar's eventual reveal a ""brilliant trolling maneuver by GameFreak"".[14] Incineroar has received mixed reviews from critics and fans. Matthew Guida of The Gamer has complimented Incineroar, calling it a ""fearsome Pokémon"" and particularly praised its Shiny Pokémon form, which he said ""adds a majestic and regal appearance to its regular design"".[17] Allegra Frank of Polygon critiqued Incineroar's design of a ""gigantic fighting feline monster"", compared to its pre-evolution Litten, to be ""upsetting"" and leaving fans ""extremely disheartened"", but nonetheless praised its Fire/Dark typing as ""some good to be found in Incineroar’s official reveal"".[26] Oliver Cragg of International Business Times was critical of Incineroar in Pokémon Sun and Moon because ""its stats are spread so broadly that it fails to excel at anything"", and that its attacks are ""a tad underpowered"".[27] Jordan Minor of Geek.com praised the addition of Incineroar to Super Smash Bros. Ultimate because its professional wrestling-inspired grapple moves are so different from those of other playable characters. He wrote: ""We're excited to try out up close and personal grabs and lariats or even bouncing foes against the ropes.""[16]"
728,Popplio,"Popplio are sea lion Pokémon that can do tricks and form water bubbles from their ""clown-like nose"".[10][28] Popplio originally appeared in Pokémon Sun and Moon as a starter Pokémon."
729,Brionne,
730,Primarina,"Primarina is based on selkies, mythological aquatic creatures from Scotland who are similar to mermaids."
731,Pikipek,"Pikipek are woodpecker Pokémon capable of pecking 16 times per second and with enough force to break stone.[29] The concept art for Pikipek was initially teased during the February 26, 2016, Nintendo Direct which revealed Pokémon Sun and Moon.[30] The Pokémon was officially revealed on June 14 during Nintendo's Electronic Entertainment Expo presser.[29]"
732,Trumbeak,It spits out seeds from the fruits it eats at foes.
733,Toucannon,"Its English name is a portmanteau of ""toucan"" and ""cannon"", as the previous one indicates that Toucannon is based on a giant toucan."
734,Yungoos,Yungoos are an invasive species of Alolan Pokémon known for being voracious eaters. Most of their elongated body is devoted to its stomach—they are almost constantly hungry and become angry when not eating.[29]
735,Gumshoos,"The fur on Gumshoos's head has been said to bear a striking similarity to that of former U.S. President Donald Trump. However, in an interview with Game Informer, director Junichi Masuda stated that Gumshoos was designed ""a long time back, and we didn’t have any intention to make it look like Donald Trump"". He did acknowledge the similarities, however.[31]Gumshoos is also a Totem Pokémon on Ilima's Trial in Sun and Ultra Sun."
